Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Australia/NSW-ICPMR-27480/2022	EPI_ISL_13337746	2022-06-13	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (7.51% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27479/2022	EPI_ISL_13337745	2022-06-13	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Stretches of NNNs (3.83% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	warn	BA.5	GRA
hCoV-19/Japan/OPHO-Hb62-218/2022	EPI_ISL_13322110	2022-06-13	Asia / Japan / Osaka	Human	Original			Illumina MiSeq	CLC	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Japan/OPHO-Hb62-217/2022	EPI_ISL_13322109	2022-06-13	Asia / Japan / Osaka	Human	Original			Illumina MiSeq	CLC	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Japan/OPHO-Hb62-216/2022	EPI_ISL_13322108	2022-06-13	Asia / Japan / Osaka	Human	Original			Illumina MiSeq	CLC	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.29	GRA
hCoV-19/Australia/NSW-RPAH-3158/2022	EPI_ISL_13314745	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Long stretches of NNNs (15.68% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP1 without BLAST coverage.	alert	BA.2.23	GRA
hCoV-19/Australia/NSW-RPAH-3156/2022	EPI_ISL_13314743	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Stretches of NNNs (1.32% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP1 without BLAST coverage.	warn	BA.2.23	GRA
hCoV-19/Australia/NSW-RPAH-3163/2022	EPI_ISL_13314749	2022-06-13	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Stretches of NNNs (4.07% of overall sequence). Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Australia/NSW-RPAH-3159/2022	EPI_ISL_13314746	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Long stretches of NNNs (18.30% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP1 without BLAST coverage.	alert	BA.2.23	GRA
hCoV-19/Australia/NSW-RPAH-3157/2022	EPI_ISL_13314744	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Long stretches of NNNs (11.90% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP1 without BLAST coverage.	alert	BA.2.23	GRA
hCoV-19/Australia/NSW-RPAH-3160/2022	EPI_ISL_13314747	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Gap of 33 nucleotides when compared to the reference WIV04 sequence.	ui:ml_dc	BA.5	GRA
hCoV-19/Australia/NSW-RPAH-3162/2022	EPI_ISL_13314748	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Long stretches of NNNs (35.05% of overall sequence). Gap of 24 nucleotides when compared to the reference WIV04 sequence. NSP1 without BLAST coverage. NS8 without BLAST coverage. E without BLAST coverage.	alert	BA.2	GR
hCoV-19/Australia/NSW-RPAH-3165/2022	EPI_ISL_13314750	2022-06-14	Oceania / Australia / New South Wales / Sydney	Human	Original			Oxford Nanopore MinION		Long stretches of NNNs (15.84% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP1 without BLAST coverage.	alert	BA.2.23	GRA
hCoV-19/Denmark/DCGC-529728/2022	EPI_ISL_13341630	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
hCoV-19/Denmark/DCGC-529989/2022	EPI_ISL_13341891	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 24 nucleotides when compared to the reference WIV04 sequence.	info	BA.5	GRA
hCoV-19/Denmark/DCGC-529732/2022	EPI_ISL_13341634	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529873/2022	EPI_ISL_13341775	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529858/2022	EPI_ISL_13341760	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529730/2022	EPI_ISL_13341632	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529729/2022	EPI_ISL_13341631	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529721/2022	EPI_ISL_13341623	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529755/2022	EPI_ISL_13341657	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=2,last_infection_date=2021-12-13	Illumina	ARTIC-ncov2019 v1.1.0	Stretches of NNNs (1.93% of overall sequence). Gap of 42 nucleotides when compared to the reference WIV04 sequence. NSP11 without BLAST coverage.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529757/2022	EPI_ISL_13341659	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529806/2022	EPI_ISL_13341708	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529733/2022	EPI_ISL_13341635	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529724/2022	EPI_ISL_13341626	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529723/2022	EPI_ISL_13341625	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
hCoV-19/Denmark/DCGC-529727/2022	EPI_ISL_13341629	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529750/2022	EPI_ISL_13341652	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529753/2022	EPI_ISL_13341655	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529752/2022	EPI_ISL_13341654	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529739/2022	EPI_ISL_13341641	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529776/2022	EPI_ISL_13341678	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=2,last_infection_id=hCoV-19/Denmark/DCGC-266432/2021	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.9	GRA
hCoV-19/Denmark/DCGC-529751/2022	EPI_ISL_13341653	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529742/2022	EPI_ISL_13341644	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529740/2022	EPI_ISL_13341642	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Stretches of NNNs (4.30% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP11 without BLAST coverage.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529756/2022	EPI_ISL_13341658	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529743/2022	EPI_ISL_13341645	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=2,last_infection_id=hCoV-19/Denmark/DCGC-101973/2021	Illumina	ARTIC-ncov2019 v1.1.0	NS8_Q18stop results in 86.0% truncation of the protein sequence. Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.2	GRA
hCoV-19/Denmark/DCGC-529777/2022	EPI_ISL_13341679	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529774/2022	EPI_ISL_13341676	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529747/2022	EPI_ISL_13341649	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529745/2022	EPI_ISL_13341647	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=2,last_infection_date=2022-02-14	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529746/2022	EPI_ISL_13341648	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529768/2022	EPI_ISL_13341670	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529744/2022	EPI_ISL_13341646	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529765/2022	EPI_ISL_13341667	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529764/2022	EPI_ISL_13341666	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=2,last_infection_date=2020-11-23	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529772/2022	EPI_ISL_13341674	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529775/2022	EPI_ISL_13341677	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529759/2022	EPI_ISL_13341661	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.18	GRA
hCoV-19/Denmark/DCGC-529763/2022	EPI_ISL_13341665	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529767/2022	EPI_ISL_13341669	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529766/2022	EPI_ISL_13341668	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529844/2022	EPI_ISL_13341746	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529845/2022	EPI_ISL_13341747	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529881/2022	EPI_ISL_13341783	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=2,last_infection_id=hCoV-19/Denmark/DCGC-141166/2021	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529882/2022	EPI_ISL_13341784	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 18 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.9	GRA
hCoV-19/Denmark/DCGC-529802/2022	EPI_ISL_13341704	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 1 nucleotide(s) found at refpos 28254 (FRAMESHIFT confirmed by the submitter). Gap of 1 nucleotide(s) at refpos 28254 occurred >=100 times in >=10 locations. NS8_Q18stop results in 86.0% truncation of the protein sequence. Gap of 28 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
hCoV-19/Denmark/DCGC-529778/2022	EPI_ISL_13341680	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
hCoV-19/Denmark/DCGC-529810/2022	EPI_ISL_13341712	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=2,last_infection_date=2022-02-14	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529816/2022	EPI_ISL_13341718	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529809/2022	EPI_ISL_13341711	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 42 nucleotides when compared to the reference WIV04 sequence.	warn	BA.4	GRA
hCoV-19/Denmark/DCGC-529811/2022	EPI_ISL_13341713	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	NS8_Q18stop results in 86.0% truncation of the protein sequence. Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
hCoV-19/Denmark/DCGC-529838/2022	EPI_ISL_13341740	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529808/2022	EPI_ISL_13341710	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529884/2022	EPI_ISL_13341786	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529798/2022	EPI_ISL_13341700	2022-06-12	Europe / Denmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP11 without BLAST coverage.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529839/2022	EPI_ISL_13341741	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=2,last_infection_date=2021-06-07	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529815/2022	EPI_ISL_13341717	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529807/2022	EPI_ISL_13341709	2022-06-12	Europe / Denmark / Midtjylland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Stretches of NNNs (1.36% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP11 without BLAST coverage.	warn	BA.2	GRA
hCoV-19/Denmark/DCGC-529801/2022	EPI_ISL_13341703	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529814/2022	EPI_ISL_13341716	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.2	GRA
hCoV-19/Denmark/DCGC-529800/2022	EPI_ISL_13341702	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.2	GRA
hCoV-19/Denmark/DCGC-529831/2022	EPI_ISL_13341733	2022-06-12	Europe / Denmark / Syddanmark	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
hCoV-19/Denmark/DCGC-529803/2022	EPI_ISL_13341705	2022-06-12	Europe / Denmark / Sjaelland	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529829/2022	EPI_ISL_13341731	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 33 nucleotides when compared to the reference WIV04 sequence.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529867/2022	EPI_ISL_13341769	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2	GRA
hCoV-19/Denmark/DCGC-529885/2022	EPI_ISL_13341787	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Stretches of NNNs (4.22% of overall sequence). Gap of 42 nucleotides when compared to the reference WIV04 sequence. NSP11 without BLAST coverage.	warn	BA.5	GRA
hCoV-19/Denmark/DCGC-529830/2022	EPI_ISL_13341732	2022-06-12	Europe / Denmark / Hovedstaden	Human	Original		n_infections=1	Illumina	ARTIC-ncov2019 v1.1.0	Gap of 27 nucleotides when compared to the reference WIV04 sequence.	info	BA.2.12.1	GRA
